voucher,locality,lineage,long,lat
PA142,Otovški zdenec,Dolenjska,15.166772,45.592261
PA151,Otovški zdenec,Dolenjska,15.166772,45.592261
PA153,Otovški zdenec,Dolenjska,15.166772,45.592261
PA166,Mobi šaht,Dolenjska,14.78954216,45.70822136
PA201,Kompoljska jama,Dolenjska,14.73093995,45.79950251
PA213,Otovški zdenec,Dolenjska,15.166772,45.592261
PA217,Lu?ka jama,Dolenjska,14.72513699,45.91778442
PA224,Mobi šaht,Dolenjska,14.78954216,45.70822136
PA225,Mobi šaht,Dolenjska,14.78954216,45.70822136
PA229,"Suhorec, Dolenjske Toplice",Dolenjska,15.0612604,45.75598838
PA255,Krupa,Dolenjska,15.21676222,45.63482189
PA256,Krupa,Dolenjska,15.21676222,45.63482189
PA342,Poltarica,Dolenjska,14.76712528,45.88712278
PA343,Poltarica,Dolenjska,14.76712528,45.88712278
PA344,Poltarica,Dolenjska,14.76712528,45.88712278
PA346,Sušica,Dolenjska,15.06126036,45.75598838
PA702,?rmošnjica v Podturnu,Dolenjska,15.0453,45.7394
PA703,?rmošnjica v Podturnu,Dolenjska,15.0453,45.7394
PA764,Bobnova jama,Dolenjska,14.94481174,45.81039298
PA765,Bobnova jama,Dolenjska,14.94481174,45.81039298
PA766,Bobnova jama,Dolenjska,14.94481174,45.81039298
PA770,Podpeška jama,Dolenjska,14.68632309,45.8392687
PA771,Podpeška jama,Dolenjska,14.68632309,45.8392687
PA772,Podpeška jama,Dolenjska,14.68632309,45.8392687
PA803,Virsnica,Dolenjska,14.70548735,45.9039246
PA804,Virsnica,Dolenjska,14.70548735,45.9039246
PA805,Virsnica,Dolenjska,14.70548735,45.9039246
PA806,Mavsarjeva jama,Dolenjska,15.19221667,45.60842778
PB521,Remihov mlin,Dolenjska,14.89536111,45.65471667
PB522,Remihov mlin,Dolenjska,14.89536111,45.65471667
PB523,Remihov mlin,Dolenjska,14.89536111,45.65471667
PB524,Remihov mlin,Dolenjska,14.89536111,45.65471667
PB525,Remihov mlin,Dolenjska,14.89536111,45.65471667
PB549,Velika Stankova jama,Dolenjska,14.88704444,45.64921111
PB550,Velika Stankova jama,Dolenjska,14.88704444,45.64921111
PB551,Velika Stankova jama,Dolenjska,14.88704444,45.64921111
PB552,Velika Stankova jama,Dolenjska,14.88704444,45.64921111
PB553,Velika Stankova jama,Dolenjska,14.88704444,45.64921111
PB554,Velika Stankova jama,Dolenjska,14.88704444,45.64921111
PB555,Velika Stankova jama,Dolenjska,14.88704444,45.64921111
PB600,Šica,Dolenjska,14.942967,45.810083
PB601,Šica,Dolenjska,14.942967,45.810083
PB602,Šica,Dolenjska,14.942967,45.810083
PB603,Šica,Dolenjska,14.942967,45.810083
PC499,Bilpa,Dolenjska,14.9622194,45.51282723
PC500,Bilpa,Dolenjska,14.9622194,45.51282723
PC525,Remihov mlin,Dolenjska,14.89536111,45.65471667
PA070,Rupnica,Sti?na,14.79391194,45.94875526
PA216,Vir pri Sti?ni,Sti?na,14.815247,45.948785
PA745,Vir pri Sti?ni,Sti?na,14.815247,45.948785
PC453,Vir pri Sti?ni,Sti?na,14.815247,45.948785
PC454,Vir pri Sti?ni,Sti?na,14.815247,45.948785
PC455,Vir pri Sti?ni,Sti?na,14.815247,45.948785
PC456,Vir pri Sti?ni,Sti?na,14.815247,45.948785
PC643,Vir pri Sti?ni,Sti?na,14.815247,45.948785
PC644,Vir pri Sti?ni,Sti?na,14.815247,45.948785
PC645,Vir pri Sti?ni,Sti?na,14.815247,45.948785
PC646,Vir pri Sti?ni,Sti?na,14.815247,45.948785
